s,ch1,ch2,ch3,ch4
1.015287356321839,-76.97226096,37.05387964,91.06626202,1.04562471
1.0236781609195402,-67.97019723,14.04860566,82.06419829,20.04998148
1.0320689655172413,-53.96698698,-6.95620972,60.05915362,37.05387964
1.0404597701149425,-29.9614837,-31.9619423,30.05227451,60.05915362
1.0488505747126435,-1.9550632,-50.96629907,-2.9552925,69.06121735
1.0572413793103448,30.05227451,-63.96928002,-34.96263021,78.06328108
1.0656321839080458,61.05938292,-61.96882141,-61.96882141,75.06259317
1.074022988505747,85.0648862,-58.9681335,-79.97294887,49.05663128
1.0824137931034483,95.06717924,-42.96446464,-87.9747833,33.05296242
1.0908045977011493,98.06786715,-20.95941997,-85.97432469,9.04745914
1.0991954022988506,89.06580342,5.04654192,-70.97088514,-14.95804415
1.1075862068965516,69.06121735,31.05250381,-45.96515255,-51.96652837
1.1159770114942529,38.05410894,55.0580071,-11.95735623,-68.97042653
1.124367816091954,4.04631262,72.06190526,26.0513573,-81.97340748
1.1327586206896552,-30.961713,85.0648862,56.0582364,-85.97432469
1.1411494252873562,-64.96950932,82.06419829,87.06534481,-80.97317817
1.1495402298850574,-83.97386608,73.06213456,108.07016018,-57.96790419
1.1579310344827585,-97.97707633,53.05754849,113.0713067,-27.96102509
1.1663218390804597,-96.97684703,24.05089869,107.06993088,8.04722983
1.1747126436781608,-82.97363678,-5.95598041,87.06534481,45.05571406
1.183103448275862,-49.96606977,-27.96102509,56.0582364,76.06282247
1.1914942528735633,-19.95919066,-52.96675768,17.04929357,100.06832575
1.1998850574712643,15.04883496,-71.97111444,-27.96102509,114.071536
1.2082758620689655,57.0584657,-79.97294887,-62.96905071,115.07176531
1.2166666666666666,86.06511551,-76.97226096,-87.9747833,100.06832575
1.2250574712643678,109.07038949,-59.9683628,-104.97868146,79.06351038
1.2334482758620688,117.07222391,-36.96308882,-108.97959867,38.05410894
1.24183908045977,114.071536,-6.95620972,-97.97707633,0.04539541
1.2502298850574711,92.06649133,22.05044008,-73.97157305,-45.96515255
1.2586206896551724,61.05938292,50.05686058,-37.96331813,-76.97226096
1.2670114942528734,18.04952287,79.06351038,3.04608332,-104.97868146
1.2754022988505747,-17.95873206,90.06603272,46.05594337,-114.98097449
1.2837931034482757,-61.96882141,93.06672063,86.06511551,-108.97959867
1.292183908045977,-90.97547121,88.06557411,117.07222391,-92.97592982
1.3005747126436782,-112.98051589,67.06075874,134.07612207,-63.96928002
1.3089655172413792,-118.98189171,36.05365033,135.07635138,-13.95781484
1.3173563218390805,-106.97914006,2.04585401,118.07245322,21.05021078
1.3257471264367815,-81.97340748,-25.96056648,87.06534481,77.06305177
1.3341379310344827,-46.96538186,-56.96767489,44.05548476,100.06832575
1.3425287356321838,-2.9552925,-76.97226096,-4.95575111,124.07382904
1.350919540229885,43.05525546,-90.97547121,-51.96652837,125.574172995
1.359310344827586,86.06511551,-92.97592982,-92.97592982,127.07451695
1.3677011494252873,113.0713067,-80.97317817,-123.98303822,97.06763784
1.3760919540229883,136.07658068,-53.96698698,-136.98601917,66.06052944
1.3844827586206896,135.07635138,-16.95850275,-132.98510195,12.04814705
1.3928735632183906,119.07268252,13.04837635,-111.98028658,-23.96010788
1.4012643678160919,92.06649133,42.05502615,-69.97065584,-73.97157305
1.4096551724137931,52.05731919,74.06236386,-20.95941997,-104.97868146
1.4180459770114942,-3.95552181,97.06763784,29.05204521,-128.98418474
1.4264367816091954,-47.96561116,107.06993088,79.06351038,-134.98556056
1.4348275862068964,-92.97592982,107.06993088,119.07268252,-111.98028658
